Date,Adj Close,Close,High,Low,Open,Volume
2011-10-13,84.27857971191406,114.66000366210938,115.01000213623047,113.63999938964844,114.52999877929688,5493900
2011-10-14,85.51338195800781,116.33999633789062,116.3499984741211,115.16000366210938,115.81999969482422,5256900
2011-10-17,83.71998596191406,113.9000015258789,115.87999725341797,113.63999938964844,115.83999633789062,8397900
2011-10-18,84.90335083007812,115.51000213623047,116.41999816894531,112.83000183105469,113.54000091552734,11694400
2011-10-19,84.49171447753906,114.94999694824219,116.25,114.58000183105469,115.47000122070312,15286300
2011-10-20,84.77104187011719,115.33000183105469,115.7699966430664,113.83999633789062,115.06999969482422,7944500
2011-10-21,86.762451171875,117.8499984741211,117.87999725341797,116.43000030517578,116.44999694824219,13012000
2011-10-24,87.52080535888672,118.87999725341797,119.16000366210938,118.01000213623047,118.16999816894531,8407500
2011-10-25,85.98213195800781,116.79000091552734,118.36000061035156,116.56999969482422,118.22000122070312,9405200
2011-10-26,87.17472076416016,118.41000366210938,118.66000366210938,116.68000030517578,118.37999725341797,9938700
2011-10-27,89.7735824584961,121.94000244140625,122.58000183105469,120.44999694824219,121.08000183105469,12948500
2011-10-28,89.84719848632812,122.04000091552734,122.23999786376953,121.36000061035156,121.58000183105469,6666900
2011-10-31,87.85945129394531,119.33999633789062,120.91999816894531,119.2699966430664,120.75,13398600
2011-11-01,85.68021392822266,116.37999725341797,117.66999816894531,116.02999877929688,116.9000015258789,15120600
2011-11-02,86.96858215332031,118.12999725341797,118.5199966430664,117.16999816894531,117.80000305175781,7605000
2011-11-03,88.48521423339844,120.19000244140625,120.41000366210938,118.16000366210938,119.2300033569336,12007500
2011-11-04,88.0509033203125,119.5999984741211,119.68000030517578,118.23999786376953,119.4000015258789,7021900
2011-11-07,88.67662048339844,120.44999694824219,120.5,118.55000305175781,119.5199966430664,8694400
2011-11-08,89.5158920288086,121.58999633789062,121.75,119.9000015258789,121.01000213623047,7383200
2011-11-09,86.64468383789062,117.69000244140625,119.66999816894531,117.23999786376953,119.33000183105469,12096200
2011-11-10,87.52811431884766,118.88999938964844,119.55000305175781,117.87999725341797,118.95999908447266,9960400
2011-11-11,89.47177124023438,121.52999877929688,121.70999908447266,120.22000122070312,120.23999786376953,7260300
2011-11-14,88.86808776855469,120.70999908447266,121.56999969482422,120.18000030517578,121.33000183105469,7391200
2011-11-15,88.98585510253906,120.87000274658203,121.58000183105469,119.93000030517578,120.37999725341797,6467700
2011-11-16,87.68272399902344,119.0999984741211,121.13999938964844,118.91000366210938,119.87000274658203,7142200
2011-11-17,86.74771118164062,117.83000183105469,119.51000213623047,116.79000091552734,119.05999755859375,10984300
2011-11-18,86.88432312011719,117.7300033569336,118.30000305175781,117.29000091552734,117.95999908447266,8307400
2011-11-21,84.9876480102539,115.16000366210938,116.31999969482422,114.27999877929688,116.11000061035156,18829600
2011-11-22,84.67768859863281,114.73999786376953,115.52999877929688,114.12999725341797,114.9800033569336,8396900
2011-11-23,82.89910888671875,112.33000183105469,113.88999938964844,112.33000183105469,113.75,7988400
2011-11-25,82.75886535644531,112.13999938964844,113.45999908447266,112.13999938964844,112.27999877929688,3532100
2011-11-28,84.943359375,115.0999984741211,115.4800033569336,114.30999755859375,114.77999877929688,6666100
2011-11-29,85.2828140258789,115.55999755859375,116.18000030517578,115.11000061035156,115.31999969482422,5325400
2011-11-30,88.69975280761719,120.19000244140625,120.38999938964844,118.41000366210938,118.41000366210938,11581500
2011-12-01,88.65545654296875,120.12999725341797,120.55000305175781,119.66000366210938,120.01000213623047,5437700
2011-12-02,88.60381317138672,120.05999755859375,121.4000015258789,120.0,121.22000122070312,5584400
2011-12-05,89.26061248779297,120.94999694824219,121.8499984741211,120.20999908447266,121.7699966430664,6285400
2011-12-06,89.5853271484375,121.38999938964844,122.08999633789062,120.68000030517578,120.95999908447266,7062300
2011-12-07,90.08718872070312,122.06999969482422,122.56999969482422,120.58000183105469,121.05999755859375,9026700
2011-12-08,88.51524353027344,119.94000244140625,121.80999755859375,119.63999938964844,121.5,9595600
2011-12-09,89.87319946289062,121.77999877929688,122.11000061035156,120.41000366210938,120.47000122070312,8999200
