ts,ny,cet,ny_min,desde_apertura,dow,nas,dur_min,c9
2023-07-26 17:00:00.207000+00:00,2023-07-26 13:00:00.207000-04:00,2023-07-26 19:00:00.207000+02:00,780,210,2,-1.0,98.1891,-NASDAQ 100 (Mini)
2023-07-28 17:00:00.209000+00:00,2023-07-28 13:00:00.209000-04:00,2023-07-28 19:00:00.209000+02:00,780,210,4,1.0,42.15251666666666,+NASDAQ 100 (Mini)
2023-08-02 15:00:00.209000+00:00,2023-08-02 11:00:00.209000-04:00,2023-08-02 17:00:00.209000+02:00,660,90,2,-1.0,96.41328333333333,-NASDAQ 100 (Mini)
2023-08-08 13:00:00.130000+00:00,2023-08-08 09:00:00.130000-04:00,2023-08-08 15:00:00.130000+02:00,540,-30,1,-1.0,210.00050000000002,-NASDAQ 100 (Mini)
2023-08-09 15:00:00.106000+00:00,2023-08-09 11:00:00.106000-04:00,2023-08-09 17:00:00.106000+02:00,660,90,2,-1.0,193.04835,-NASDAQ 100 (Mini)
2023-08-11 13:00:00.064000+00:00,2023-08-11 09:00:00.064000-04:00,2023-08-11 15:00:00.064000+02:00,540,-30,4,-1.0,80.11263333333333,-NASDAQ 100 (Mini)
2023-08-16 17:00:00.264000+00:00,2023-08-16 13:00:00.264000-04:00,2023-08-16 19:00:00.264000+02:00,780,210,2,-1.0,91.02685,-NASDAQ 100 (Mini)
2023-08-23 15:00:00.176000+00:00,2023-08-23 11:00:00.176000-04:00,2023-08-23 17:00:00.176000+02:00,660,90,2,1.0,449.99978333333337,+NASDAQ 100 (Mini)
2023-08-29 17:00:00.088000+00:00,2023-08-29 13:00:00.088000-04:00,2023-08-29 19:00:00.088000+02:00,780,210,1,1.0,2760.0009166666664,+NASDAQ 100 (Mini)
2023-09-01 13:00:00.352000+00:00,2023-09-01 09:00:00.352000-04:00,2023-09-01 15:00:00.352000+02:00,540,-30,4,1.0,37.026916666666665,+NASDAQ 100 (Mini)
2023-09-07 15:00:00.116000+00:00,2023-09-07 11:00:00.116000-04:00,2023-09-07 17:00:00.116000+02:00,660,90,3,-1.0,180.0054,-NASDAQ 100 (Mini)
