ms,dir,tod,transc,pos,rbp,rbp_rel,vol30,dow,r15,r30,r60,r120,fwd75,fwd240,tomada
1682439300000,-1,735,735,0.05990845906086749,91.97142758473937,0.6408294418619233,2.323255656989541,1,-7.565271695063602,-18.644773491522937,-41.50956959769858,-28.34342542834767,21.966188222435346,-7.968570374394801,False
1682439600000,-1,740,740,0.1107814883878603,91.9284155189312,0.6405297466321217,2.4158823283649475,1,2.571976569449852,-16.92639793883788,-41.04203149442487,-23.879447964997304,33.90240175647374,-3.2881667527551173,False
1682439900000,-1,745,745,0.10942532632649518,91.9295616032082,0.6405377322051072,2.17701635826656,1,1.917190016675896,-5.023290545023151,-28.476217773992786,-20.32678534533705,35.14330469086113,-3.412879130548774,False
1682440200000,-1,750,750,0.03814205797592826,91.98984291163178,0.6409577543603162,2.285411487636507,1,-2.0018869811644358,-9.56564419433592,-32.71052259975371,-28.42506260161248,26.743953313009825,-9.972453728088748,False
1682440500000,-1,755,755,0.01771787688347203,103.10655434321212,0.7184156798173932,2.5934001648338634,1,-19.339407299371338,-16.772404780166504,-36.53533056695801,-30.393530451010562,22.281071105891836,-22.671419233186718,False
1682440800000,-1,760,760,0.027427889990312954,104.75223173314163,0.7298822684196157,2.564811990794141,1,-19.80716609555455,-17.89377348898835,-34.258328963834295,-41.51081322085637,27.138612022389317,-23.266128833925315,False
1682441100000,-1,765,765,0.12437951852127967,104.64595435402285,0.7291417593796697,2.776454004126816,1,-3.1203877888830167,-5.121650103677711,-23.75687439459262,-28.66035696034497,33.5675082618192,-13.096928266473906,False
1682441400000,-1,770,770,0.07505403592458465,104.699997479459,0.7295183157387392,2.516423928353417,1,4.39531991332176,-14.952587674251783,-31.853676268169817,-52.722157876315954,31.30153014009207,-18.268069918716545,False
1682441700000,-1,775,775,0.05038384139524644,104.72704815453807,0.7297067967645113,2.5100736652910873,1,2.4046871412242155,-17.407241958091735,-22.421788339720415,-45.32959764445788,34.41466462796194,-20.856426374669113,False
1682442000000,-1,780,780,0.14235671163449617,104.6262716357531,0.7290046160766422,2.7491536903148748,1,1.881240529939543,-1.23973427894164,-10.80419258757681,-34.921999375383535,45.9242035415719,-11.213578192756923,False
1682442600000,-1,790,790,0.15472907505403746,104.6127297871981,0.7289102605199311,2.852109053174823,1,10.927768310080577,13.33508323769772,-4.5825517471809185,-40.18746696182518,53.29268898378814,-9.917820100568964,False
1682442900000,-1,795,795,0.05282850115526238,104.72436698034548,0.72968811514342,3.492993621615434,1,-9.36700286866321,-7.487524497268305,-12.605339752883582,-54.06258512780426,29.174833338238003,-20.599876972089426,False
1682443200000,-1,800,800,0.1435664547381229,129.04996331667832,0.8991816060301179,5.5635927357509525,1,-28.471450124820663,-13.531325604038136,-28.463680445045547,-69.38889121254289,21.105900751944297,-31.842482622794765,False
1682443500000,-1,805,805,0.09827429609445716,129.12543650691546,0.8997074806810321,6.037477950095943,1,-27.687247780751044,-16.78973545355955,-34.16775111290682,-62.54667205474518,5.638829234561049,-37.709475039229275,False
