dur,real,mfe,mae,dir,alt15,alt30,alt45,alt60,alt75,alt90,alt120,alt150,alt180,alt240
233.19626666666667,36.52344914818806,125.93572558199817,-20.678421144098014,-1,3.215543957814093,1.5647148375919073,30.588892521772326,30.689664554637286,27.64818138086489,74.76185507387711,83.01600067499027,118.21475564568473,79.69235580919332,25.1636927160237
11.832916666666666,35.42489779747693,80.62666451925993,-33.31167308523453,-1,42.52086466050131,33.40872759974856,29.709668744701823,-40.29593569570666,-51.459036082028845,-3.1863180236557653,0.016480955294939648,-27.20456353989542,-44.407018433123554,-35.42489779747582
1439.001,126.2171580829885,130.3563302982158,-30.12397556637403,-1,-4.744411174699703,-21.680064247311392,-24.612437807787213,-3.842991447826627,-12.130534038758967,5.739652138447848,5.656868694142725,25.168006700675427,35.24735095277731,38.06198805913152
1020.0329333333333,-23.3428653288148,73.42466578888374,-108.49568893488426,-1,-7.413326523835195,0.5207555009212328,5.112703114406036,5.112703114406036,5.112703114406036,5.112703114406036,5.112703114406036,-11.281795959252605,-7.720200301164493,-18.618868999025207
166.85971666666666,-61.49296958681494,41.61401416624244,-64.77711795820684,1,35.99419510345703,34.05816388397653,21.989051832262962,25.44371304500581,12.831091311491516,23.534324456986333,15.044205898164797,14.609042917639314,-38.39203193492291,-97.83174272383066
119.00028333333333,5.771965205583207,65.14634218163229,-22.997117842836758,1,-9.903439683810467,19.002647470907075,25.79057819202424,14.111422948668295,36.50180832075689,51.30358962323722,7.524550201729596,50.3694707166602,56.12542245527541,78.00337688432802
15.0104,-63.244707785784506,27.199549487841868,-78.20829682179786,1,-63.244707785784506,-27.632063483288285,-169.21935671042388,-141.80355022485935,-37.92171095560515,-74.85980137317938,-115.98351110152616,-78.06005613787525,-45.577906278228,-0.04185619310703714
46.071266666666666,-8.678646626159026,23.714825972278586,-15.091567597422806,1,12.637175711522897,20.988685478420255,-8.678646626159026,6.1204017690652535,16.280684117599975,7.557034537257756,5.902310529557475,10.231248545518046,-0.9502546864303962,-0.9502546864303962
218.04025,18.584090343052306,88.42675773886643,-2.6826760650033865,1,44.82692465717086,30.228766259281503,40.79021650888359,49.608350451262325,34.44149857839251,39.817005949025486,57.58867704210857,78.9146823538056,57.68176674783243,6.480736058611658
43.14635,14.596536408559846,62.89993400154792,-3.642853320553474,1,6.305904713508337,31.747257329233225,15.852692725992767,-26.87337081759611,2.604430764809873,14.722152040302916,-61.04919702719647,-40.021140273385214,-18.69998037883791,2.7886670247001533
16.895383333333335,7.524815843134025,77.70225603892733,-13.270004613216146,1,31.6594843680873,72.11959028921689,100.02479288675703,38.32292820326266,114.64373856904464,114.64373856904464,114.64373856904464,114.64373856904464,136.73874318835377,150.25253233212686
873.3142333333333,-37.64126394242173,42.86410146849606,-52.281894391486006,1,-6.3829433900597365,-6.24127510273409,1.5032579377338706,10.925773136971628,5.477840443259829,2.4099349766193434,6.707206358829154,6.926005158143234,10.870679914121162,25.588440875172758
116.08953333333334,35.6550080695095,75.92325592573945,-19.162187830594757,-1,0.9825094609239304,6.449751676427251,18.966987275444993,46.11450448298471,74.20711771171096,58.71470031794112,30.125952344876026,5.171188040192787,20.128430578589818,2.1781128612197165
969.3891666666667,16.54166280022018,84.57528311676788,-14.413634443807277,1,0.23732658249953076,1.5726841533658664,5.015501776823861,33.46146595522459,48.493731690748554,48.493731690748554,48.493731690748554,48.493731690748554,39.90883811312962,50.88281928791183
118.99403333333333,43.03325373587796,48.33356121105581,-39.535214644839115,-1,-5.446127371713239,4.695728353589779,-37.69853931882005,11.067566304430176,42.2156792597983,40.35606597252661,36.45661255956667,64.56380722314803,69.03507124162101,54.616924168492396
146.96151666666665,22.555262272172527,60.14736605912563,-36.539524880918606,-1,11.11055511925474,-4.0933624123562495,15.990845570885703,20.49187346431114,45.561629789788725,41.13578610393742,48.51052148685309,20.09924482475722,2.8987688920156796,44.12477604504139
991.8129,67.77279113203916,120.31762178749794,-12.634186988813578,-1,4.752462390493761,0.267744360027411,4.54496051147224,21.170211866948783,14.600434632766612,14.290855216484433,23.956426613489512,11.621778627458612,2.3511301614953517,2.3511301614953517
611.0816,108.0077379985922,109.77013606735309,-39.39268022204012,1,-1.897093317111409,-4.063577130921647,-0.9899289336501305,7.018758423016358,-3.000620652985342,0.39110307050727044,-3.967829906190712,-25.760871955369247,-8.049258214605226,-29.69624517521252
177.2652,-51.073177873866,16.8623619760766,-52.63202445813686,-1,11.843881682203072,-6.067768424791176,-4.473722078941478,-36.205469054004794,-29.74212235621554,-25.56005544465334,-26.735057009785734,-29.601323309893512,-58.05446392062264,-62.177864562884544
40.077466666666666,35.67285365600581,73.98179133027094,-39.50731199293456,-1,-30.87596155323169,4.133203209573111,44.524867922092206,-67.81848091796716,-69.83161398020687,-78.21683938278979,-130.2256058473872,-217.91401562418545,-229.10846127803808,-144.42447436815664
732.8466333333333,-54.17371194422649,18.268087474577754,-69.31829936310363,1,-6.515146578203179,6.988059437833538,-2.127295303284704,-3.6305406474701485,0.8206907014196574,-3.8255562596889447,1.79739389261524,-1.916028390047675,0.36727940301073403,-2.0314126272769073
783.9765166666666,66.64532392797851,93.82054973655407,-5.7481493054512,1,10.689818240672277,25.728305144339103,23.514437461360504,4.941668935221077,14.421766620551502,25.831091858192767,52.753304217283414,64.63702967270501,78.41044932895613,73.72970051351402
36.08946666666667,-47.10208628062706,7.5147960716126505,-55.108504525147595,1,-6.188196557410652,-45.931557297509414,-50.73072612828966,-60.81288243620308,-68.64762309653383,-69.13924526944282,-118.97256584400995,-97.84841946202549,-116.26474212973359,-106.90051026479796
119.0047,-22.671014336523854,23.643290649115745,-33.25030659498851,1,5.747233314445932,-4.9231133923433035,-0.17747900944109496,-6.606849038437446,-8.235026038100335,-15.83421423367759,-24.453520909613058,-28.720733614887585,-37.57925112963467,-13.511554153591288
460.86695,29.94892683266137,75.6608477169074,-12.266032103939173,1,-8.243383066125487,-9.501984621138604,-2.8874696691882917,-0.007618653481422655,0.6536804686452236,9.081434949003153,-7.208769923444658,-5.653040882684923,4.85917718999529,44.73673323871496
63.09823333333333,-44.95493847750498,11.902514085591065,-60.58978967597661,1,-6.463315488159926,-10.90874139902942,-3.3075182545050374,-26.862206741283813,-47.01834436104946,-92.32375839671514,-74.73170602929513,-70.6033770519976,-90.65330995717046,-77.03634833598815
