min,n,media,t
760,3683,-0.3298247429110261,-0.5264214241004229
765,3683,-0.4713220974586551,-0.741164105240298
770,3683,-0.5007102916760063,-0.7807718122614056
775,3683,-0.778345949943633,-1.2349530207455808
780,3683,-0.635891040536718,-1.006129368964696
785,3683,-0.4392610742196196,-0.6952929921883441
790,3683,0.14685410574978994,0.22741286919899878
795,3683,-0.15248099730420836,-0.23835712215111307
800,3683,0.5704367518123805,0.906485608491499
805,3683,0.5494731583432919,0.8855487869352743
810,3683,0.4548063930446485,0.7574943257905958
815,3683,0.8052712985851722,1.358667667821768
820,3682,0.3540830279788662,0.5917222768998549
825,3682,-0.020640483314952152,-0.033322781390861055
830,3682,-0.28993469073170464,-0.45785747151353506
835,3681,-0.08113833509231261,-0.127128685716636
840,3681,0.1158217680782047,0.17579966488386906
845,3681,0.5433980641171804,0.8486713661468708
850,3681,0.6573358582605127,1.0284429818821474
855,3681,0.8637391940797506,1.3621743804831148
860,3681,0.8867260407986454,1.3640662257896936
865,3681,0.5436437840994478,0.8194079203651609
870,3680,-0.4128066777353795,-0.5933503881356339
875,3679,-0.26482912344715026,-0.3587821853668294
880,3464,0.6084023437614389,0.6859268084707542
885,3462,0.2752516849603262,0.3113145837125219
890,3457,0.23421718496715638,0.2666135756766106
895,2947,-0.07943767886351072,-0.08766985009344143
900,2947,-0.20440527154873558,-0.2297580250919581
905,2945,0.13297592075099668,0.1523156083807889
910,2945,0.37407110631212004,0.4391925946972359
915,2944,0.20110004584200564,0.24267480266860908
920,2944,0.2433953070442976,0.3021807834738714
925,2944,0.47621843966281646,0.600839841339337
930,2944,0.35846515801927264,0.4641740063581515
935,2944,-0.008334309777374907,-0.011328502380839328
940,2944,0.1595071955433923,0.22311860535266184
945,2944,0.09043071609029225,0.12877358598815075
950,2944,0.6837119145717243,1.0223121528955217
955,2944,0.650960157159057,1.0870476075626896
960,2813,0.8957505486938936,1.733157160277425
965,2157,0.016409294763811977,0.05600453999462927
970,2142,-0.2869240343366676,-1.4470532546881214
975,2122,-0.39999999999999997,-3.318563188633353e+17
980,2122,-0.39999999999999997,-3.318563188633353e+17
985,2122,-0.39999999999999997,-3.318563188633353e+17
990,2122,-0.39999999999999997,-3.318563188633353e+17
995,2122,-0.39999999999999997,-3.318563188633353e+17
1000,2122,-0.27323804150541,-0.6108601416647231
1005,2122,-0.31023576619420695,-0.5760496912060381
1010,2122,-0.19163877192877668,-0.3414596928966803
1015,2122,0.04278475294560882,0.07561188072552043
1020,2122,-0.026703314896278238,-0.045992982404522466
1025,2122,-0.05774971906917576,-0.09972630802019372
1030,2122,0.17321842173472746,0.3007894719330961
1035,2122,0.1036326246203185,0.17687944994578594
1040,2122,0.08095337715284441,0.1370735123222296
1045,2122,0.04096891898719069,0.06770408580123634
1050,2122,0.002504375065900951,0.004102602430564272
1055,2122,0.06279357929269065,0.1020569120521723
1060,2114,0.22667295665239343,0.35593343466673366
1065,2114,0.2268085450719367,0.3464495915084016
1070,2114,0.23513636933867027,0.3589321059505455
1075,2114,0.3099024834019923,0.46594979950474197
1080,2114,0.1603519944013336,0.2962091099932821
1085,2111,0.04267156276502314,0.08247368575709699
1090,2106,0.2258988418085912,0.5034393574698248
1095,2104,0.05190528828872329,0.11414479017727006
1100,2104,-0.1366507462861363,-0.3159644221032658
1105,2102,0.01265340250884438,0.02974439440726289
1110,2100,-0.16849556419494294,-0.36482719784296913
1115,2098,-0.18389729693277904,-0.3976642437532151
1120,2094,-0.14381363435398212,-0.31145101876918246
1125,2093,-0.04842816632394369,-0.10617064492346515
1130,2092,-0.042142296516148446,-0.09565733986102798
1135,2387,0.009457186008956878,0.023972578884488057
1140,2386,0.09823572373063848,0.24667210678143422
1145,2384,0.08419186827372753,0.2178169997825424
1150,2382,0.010621117265964172,0.027905182763053777
1155,2381,-0.16750493812909523,-0.4394951150279403
1160,2381,-0.15785073614864248,-0.4030935357102767
1165,2379,-0.05555048120393674,-0.13928198057855137
1170,2379,-0.006439113320406091,-0.015989723937257217
1175,2378,-0.01766819678400986,-0.042061589567120757
1180,2376,0.15568503739260187,0.36743698295688
1185,2376,0.07274639104406393,0.16657500933111458
1190,2372,0.12023796441717738,0.27857418823083024
1195,2936,0.14518286930605304,0.4066142897161748
1200,2936,0.012894662595532918,0.03650457927087672
1205,2936,-0.00414880636156759,-0.011609448695101159
1210,2936,-0.062427882435080045,-0.17548316359794328
1215,2936,0.030782793460346354,0.08595845461183822
1220,2936,-0.11896882256326699,-0.34304506201476126
1225,2936,-0.2154033227018978,-0.6281365224587329
1230,2935,-0.04019539050196592,-0.11648014081913394
1235,2935,-0.016824053537100956,-0.047924702841228434
1240,2935,-0.04883112803467901,-0.13092109083635323
1245,2935,-0.16852423880845285,-0.4411707726125388
1250,2935,-0.28274118153778405,-0.7395413640756944
1255,2935,-0.38393009644533177,-1.0094561387721726
1260,2935,-0.28991683449848127,-0.7756552357836108
1265,2935,-0.2798813768583709,-0.7910547293504332
1270,2935,-0.5145285468185549,-1.4128680807334517
1275,2935,-0.37531916114465586,-1.0556369459934065
1280,2935,-0.5086868948533892,-1.4429246896898462
1285,2935,-0.3665520592258425,-1.0466255200738117
1290,2935,-0.45283989567362015,-1.3049845310901456
1295,2935,-0.556438478773783,-1.7148405934919162
1300,2935,-0.45277669013817384,-1.4116259415698484
1305,2935,-0.4986595393349398,-1.582694364524924
1310,2935,-0.6677228333766707,-2.2069214976047498
1315,2935,-0.8045646215831109,-2.8303085303961324
1320,2935,-0.6821919292070736,-2.561208446417789
1325,2935,-0.5204201677489736,-1.9890177843302221
1330,2935,-0.2581445905485274,-1.0594110865370852
1335,2935,-0.29364681373160645,-1.1636508885804466
1340,2935,-0.4578086803927451,-1.8273746362285916
1345,2934,-0.520458871724393,-2.1123009580689014
1350,2934,-0.41204711173849795,-1.7046670178802343
1355,2934,-0.40804530175319437,-1.6816335545828827
