fecha,apertura,cierre,cierre_prev,r_noct,r_intra,r_total
2020-03-04,8745.0,8917.23,8606.52,0.01596205291882603,0.019503251777815197,0.035465304696641255
2020-03-05,8714.79,8654.85,8917.23,-0.022963777952261052,-0.006901724840661231,-0.029865502792922317
2020-03-06,8385.81,8514.54,8654.85,-0.03157886577252422,0.015234298658895558,-0.016344567113628767
2020-03-09,8094.16,7895.19,8514.54,-0.0506324763543527,-0.024889100704978653,-0.07552157705933145
2020-03-10,8240.22,8380.79,7895.19,0.042773329311595436,0.0169151395329374,0.059688468844532945
2020-03-11,8169.1,7992.02,8380.79,-0.02558343844180798,-0.021915199839599497,-0.04749863828140742
2020-03-12,7515.98,7272.46,7992.02,-0.06141212328783353,-0.032936809357576834,-0.09434893264541037
2020-03-13,7693.82,7885.15,7272.46,0.05632279800309381,0.024563834493020773,0.08088663249611466
2020-03-16,7082.25,7040.48,7885.15,-0.10738958986717682,-0.005915304165292933,-0.11330489403246971
2020-03-17,7184.66,7408.38,7040.48,0.02027184794022783,0.03066359432053089,0.050935442260758704
2020-03-18,7050.06,7170.88,7408.38,-0.049575664498357125,0.01699225326638876,-0.03258341123196825
2020-03-19,7195.82,7261.82,7170.88,0.0034719211861759026,0.009130184245951306,0.012602105432127177
2020-03-20,7445.27,7016.02,7261.82,0.024948445303905005,-0.059382825735724024,-0.03443438043181896
2020-03-23,7011.51,6963.07,7016.02,-0.0006430212810663474,-0.0069326153639981125,-0.00757563664506455
2020-03-24,7355.34,7511.28,6963.07,0.05480611099349524,0.02097931062562348,0.07578542161911866
2020-03-25,7565.51,7495.03,7511.28,0.007193870031306989,-0.009359626483322175,-0.002165756452015165
2020-03-26,7542.91,7857.47,7495.03,0.006367914993111118,0.04085662246591755,0.04722453745902876
2020-03-27,7671.06,7597.06,7857.47,-0.0240098650614396,-0.009693476268272124,-0.033703341329711804
2020-03-30,7678.92,7874.7,7597.06,0.010717581926645564,0.02517617647700108,0.035893758403646475
2020-03-31,7860.8,7795.39,7874.7,-0.001766706315712773,-0.008355849102228356,-0.010122555417941
2020-04-01,7582.2,7477.72,7795.39,-0.027729138319465493,-0.013875462323265909,-0.04160460064273136
2020-04-02,7447.8,7627.92,7477.72,-0.004009245919466891,0.023896513238376896,0.01988726731890992
2020-04-03,7607.0,7530.29,7627.92,-0.0027463239910328523,-0.0101353223287518,-0.012881646319784775
2020-04-06,7813.69,8031.7,7530.29,0.03694376977659423,0.027518888191206264,0.06446265796780051
2020-04-07,8291.63,8051.76,8031.7,0.03185036060200359,-0.02935587118220115,0.0024944894198024353
2020-04-08,8125.71,8216.16,8051.76,0.00914240793935749,0.011069837619954151,0.02021224555931162
2020-04-09,8294.83,8230.82,8216.16,0.009529482525411808,-0.007746783953093384,0.0017826985723182265
2020-04-13,8201.06,8335.26,8230.82,-0.003622230997180509,0.016231295269025236,0.012609064271844847
2020-04-14,8498.46,8686.48,8335.26,0.019390261133753257,0.021882823314622837,0.04127308444837604
2020-04-15,8555.79,8603.19,8686.48,-0.015159547186443077,0.005524817974985963,-0.009634729211457136
2020-04-16,8689.3,8753.01,8603.19,0.009959318959343,0.007305257541337157,0.0172645765006799
2020-04-17,8856.76,8816.09,8753.01,0.011783368033975743,-0.004602548179180636,0.0071808198547952005
2020-04-20,8747.21,8732.6,8816.09,-0.007843668688965492,-0.0016716432732586995,-0.009515311962224177
2020-04-21,8641.4,8445.34,8732.6,-0.010498542381241196,-0.022949796767910702,-0.033448339149151865
2020-04-22,8578.16,8653.11,8445.34,0.01560462832874664,0.008699355610642969,0.024303983939389477
2020-04-23,8686.42,8631.9,8653.11,0.0038420927183081964,-0.006296243528217844,-0.0024541508099096047
2020-04-24,8654.52,8787.1,8631.9,0.0026170847301655344,0.015203009079185736,0.01782009380935136
2020-04-27,8868.41,8834.81,8787.1,0.009210787437059042,-0.0037959241703264916,0.005414863266732596
2020-04-28,8914.23,8683.19,8834.81,0.008949276136465633,-0.026259903623358602,-0.01731062748689299
2020-04-29,8871.98,8979.29,8683.19,0.021509023085208263,0.012022818837978845,0.03353184192318704
2020-04-30,9027.26,8977.0,8979.29,0.005328073782313208,-0.005583137608127525,-0.00025506382581435747
2020-05-01,8801.66,8730.7,8977.0,-0.019725410716355918,-0.00809479014513198,-0.027820200861487995
2020-05-04,8680.62,8825.69,8730.7,-0.0057525952202749486,0.01657383203896884,0.010821236818693939
2020-05-05,8916.77,8930.02,8825.69,0.010266986660045913,0.0014848611357538759,0.011751847795799809
2020-05-06,8998.24,8970.07,8930.02,0.007610368129625982,-0.003135522826515153,0.0044748453031106476
2020-05-07,9097.8,9104.1,8970.07,0.0141391462221436,0.0006922354536149273,0.014831381675758482
2020-05-08,9165.54,9224.4,9104.1,0.006725937853139316,0.006401347801383869,0.013127285654523329
2020-05-11,9163.57,9302.59,9224.4,-0.0066163064117677394,0.015057015261255207,0.008440708849487463
2020-05-12,9326.32,9114.56,9302.59,0.002547654461269965,-0.02296737558520542,-0.020419721123935593
2020-05-13,9131.21,8992.89,9114.56,0.001825081059516981,-0.015263950824242816,-0.013438869764725761
2020-05-14,8940.6,9098.35,8992.89,-0.005831564094443018,0.017490377373933906,0.011658813279490777
2020-05-15,8971.08,9146.51,9098.35,-0.014087008240428257,0.01936631560216273,0.005279307361734411
2020-05-18,9275.51,9333.09,9146.51,0.014005207741705652,0.0061885562339508305,0.02019376397565643
2020-05-19,9333.35,9296.16,9333.09,2.7857481128484544e-05,-0.003992595554391162,-0.003964738073262769
2020-05-20,9405.6,9485.79,9296.16,0.011703844906000014,0.008489632751535955,0.020193477657535878
2020-05-21,9484.92,9381.39,9485.79,-9.172034158030999e-05,-0.010975229308657259,-0.011066949650237658
2020-05-22,9361.84,9413.49,9381.39,-0.002086087306162389,0.005501914511397277,0.003415827205234756
2020-05-25,9521.21,9534.82,9413.49,0.01137817468905505,0.0014284194886484373,0.012806594177703287
2020-05-26,9562.16,9399.79,9534.82,0.002863281909354077,-0.01712629436410955,-0.014263012454755558
2020-05-27,9363.96,9434.54,9399.79,-0.0038190706601045304,0.007509145054206875,0.003690074394102413
2020-05-28,9385.61,9445.44,9434.54,-0.005199757732566187,0.00635442010096163,0.0011546623683954776
2020-05-29,9444.66,9566.21,9445.44,-8.258294031725698e-05,0.012787595343411479,0.012705012403094053
2020-06-01,9522.79,9587.38,9566.21,-0.0045492246721139116,0.006759777223429367,0.0022105525513154973
2020-06-02,9606.92,9654.84,9587.38,0.002036021813774685,0.004975671887112549,0.007011693700887271
2020-06-03,9679.25,9691.12,9654.84,0.0025250749292935358,0.0012255833508376269,0.0037506582801313084
2020-06-04,9682.42,9630.65,9691.12,-0.0008981322551083947,-0.005361149107560078,-0.006259281362668484
2020-06-05,9672.11,9812.35,9630.65,0.0042957653472528836,0.014395310084095697,0.018691075431348438
2020-06-08,9809.81,9892.72,9812.35,-0.0002588909696168223,0.008416227702295631,0.008157336732678848
2020-06-09,9858.85,9964.84,9892.72,-0.003429604147797677,0.010693368386804878,0.007263764239007229
2020-06-10,10039.33,10099.92,9964.84,0.007447481629936272,0.006017124054661054,0.013464605684597324
2020-06-11,9925.8,9620.93,10099.92,-0.017390075164876725,-0.031196494257190396,-0.048586569422067204
2020-06-12,9796.15,9660.51,9620.93,0.018048517743387147,-0.013943009483211043,0.004105508260176277
2020-06-15,9521.61,9784.55,9660.51,-0.01448248971031829,0.02724065888066504,0.012758169170346544
2020-06-16,9988.28,9954.3,9784.55,0.020607794632739464,-0.0034077870450238534,0.017200007587715723
2020-06-17,10012.14,9989.21,9954.3,0.005793738071962968,-0.0022928462374315283,0.003500891834531478
2020-06-18,9966.04,10007.94,9989.21,-0.002322196956911781,0.004195464445245788,0.0018732674883339987
2020-06-19,10109.76,9982.83,10007.94,0.010122515935403219,-0.012634676618124717,-0.0025121606827215983
2020-06-22,10000.37,10127.51,9982.83,0.0017554750494824043,0.012633391195174364,0.014388866244656646
2020-06-23,10192.67,10222.39,10127.51,0.0064133509980287325,0.00291157811884068,0.009324929116869498
2020-06-24,10178.05,10020.15,10222.39,-0.004346971910537914,-0.015635375106520032,-0.019982347017057884
2020-06-25,10007.29,10103.7,10020.15,-0.0012842382019334002,0.009587865993380436,0.008303627791447143
2020-06-26,10085.81,9881.29,10103.7,-0.001772207912157602,-0.02048641544554529,-0.022258623357702883
2020-06-29,9846.26,9970.81,9881.29,-0.0035513823883298145,0.012570136754884166,0.009018754366554216
2020-06-30,9958.22,10147.45,9970.81,-0.0012634836391817064,0.018824101631110448,0.01756061799192875
2020-07-01,10160.2,10272.99,10147.45,0.0012556845991820971,0.011039993812210493,0.012295678411392418
