fecha,tod,dir,bp,pos
2016-05-11,250,-1,-9.786272855507194,0.1397457869179833
2016-05-12,130,1,-16.67789736270757,0.9076717216773382
2016-05-12,210,-1,-40.05513522988351,0.057658450704280044
2016-05-13,140,-1,16.90366897497948,0.06384540117405314
2016-05-13,230,1,-2.880433613114563,0.8260373049105292
2016-05-16,130,1,-23.02760627918969,0.8622222222221791
2016-05-16,210,-1,-5.957381816634344,0.12364807854568134
2016-05-17,125,-1,-21.334805088683726,0.1953840031834465
2016-05-17,205,1,-6.258034751144992,0.8861719268315722
2016-05-18,125,-1,8.391271873440642,0.009440993788936421
2016-05-18,210,1,-3.152665169740709,0.9045466400069561
2016-05-19,125,1,-9.942139056460952,0.9564275397208462
2016-05-19,205,-1,-15.769137216103557,0.17520536778076432
2016-05-20,125,-1,-5.874658162203383,0.030147310723064095
2016-05-20,220,-1,-13.561386191158364,0.1769039506400414
2016-05-23,125,-1,35.37649161841223,0.13537505548132353
2016-05-23,205,-1,-56.66878717952088,0.13202768867126882
2016-05-24,125,-1,-0.9292194726069788,0.13056234718817403
2016-05-24,205,1,24.431935794957795,1.0030429392539215
2016-05-25,125,-1,-13.664802635273299,0.013505908834795658
2016-05-25,255,1,5.352425804008698,0.803155924043836
2016-05-26,125,1,7.776810449327387,0.8045371219066823
2016-05-26,225,1,-13.307142450616638,0.8742186180098318
2016-05-27,125,-1,-4.125942464236632,-0.05031928480207363
2016-05-27,215,1,1.684144266378818,0.8443328550932573
2016-05-30,125,-1,2.0080700447370874,0.18498429917193376
2016-05-30,215,-1,2.8912440946974987,0.12088172552742643
2016-05-31,125,-1,8.26241024547354,0.096414342629584
2016-05-31,230,-1,4.474847910059099,0.09215381627505774
2016-06-01,125,1,-18.57429426581696,0.821135308818231
2016-06-01,205,-1,-3.7642579465120725,0.17214281294475237
2016-06-02,125,1,9.742988423691434,0.9145607701565254
2016-06-02,215,1,-1.8351301251092074,0.8203523412147281
2016-06-03,125,-1,4.388759199153558,0.010869565217138786
2016-06-03,215,1,-8.846613124376557,0.9832134292565194
2016-06-06,125,-1,-9.550624823717202,0.07941834451893771
2016-06-06,205,1,-10.1414468702961,0.946961159942897
2016-06-07,130,1,26.079209901877356,1.0346020761244212
2016-06-07,210,1,2.9737366930641778,0.8957891133173584
2016-06-08,135,1,-7.301350990397015,0.8765368852459233
2016-06-08,280,-1,-8.99890402213237,0.17917251051896538
2016-06-09,130,-1,12.669291397557192,0.03272910372588312
2016-06-09,210,-1,4.1741664131004885,0.10128968253965656
2016-06-10,125,1,-42.69446414331317,0.9898373983737595
2016-06-10,205,-1,8.34278486424962,0.16390646739374587
2016-06-13,135,1,14.761560318797118,0.9453975585616584
2016-06-13,220,1,-9.965966442112162,0.8032335972091773
2016-06-14,135,-1,17.76711623181422,0.12920792079206417
2016-06-14,240,-1,9.992111961189387,0.011121532895629309
2016-06-15,125,1,15.533922335795713,0.8983788058522707
2016-06-15,205,1,1.3698241155561512,0.9575802286979118
2016-06-16,130,1,-8.480226109803413,0.9657121326298667
2016-06-16,210,1,-4.677715968310503,0.8298373613010771
2016-06-17,125,1,-17.040114253242407,0.8885047536733894
2016-06-17,210,1,-8.336348453336795,0.8452138492871303
2016-06-21,135,1,12.61468583314369,0.8894294559929441
2016-06-21,215,1,-2.500880762565538,0.901232808380219
2016-06-22,150,-1,10.84864240522605,0.08530259366001579
2016-06-22,235,-1,-9.205342679694128,0.1986537023186216
2016-06-23,140,1,-14.927159580227656,0.9119830328737947
2016-06-23,230,-1,-29.24782236383554,0.07419972164231546
2016-06-24,135,1,67.06284451353723,0.9028478252626033
2016-06-24,215,1,71.88894925050077,0.905017107743877
2016-06-27,125,1,27.464387993536967,0.9774320771253158
2016-06-27,260,-1,25.56523526549821,0.15721124465269798
2016-06-28,125,-1,3.0311271571940694,0.0394042817249456
2016-06-28,215,1,-1.9571171358508272,0.9722709722709645
2016-06-29,125,1,22.412807273300263,0.9708002883921698
2016-06-29,245,1,4.928179896069151,0.8465006112469502
2016-06-30,125,-1,14.238110075191335,0.06171525856563764
2016-06-30,205,-1,-47.058093107019296,0.17750285752707848
2016-07-01,125,-1,8.660845105816062,-0.018220042046136985
2016-07-01,205,-1,-6.58925346560717,-0.004460137520970564
2016-07-04,135,1,-7.736254814978016,0.8723582690371745
2016-07-04,220,-1,8.598142377001361,0.0709972552607337
2016-07-05,125,-1,38.224202304186065,0.19044943820214444
2016-07-05,220,-1,9.507923122669526,0.08764820651360071
2016-07-06,145,1,28.357000164005843,0.8913728432107781
2016-07-06,275,-1,9.350079637794728,0.14667003756138686
2016-07-07,125,-1,-21.674178654060448,0.03103448275867476
2016-07-07,205,1,11.767670909299932,0.9132969719766335
2016-07-08,125,1,21.01478538192354,0.8412017167380519
2016-07-08,205,1,-21.373542824189727,0.992330128551376
2016-07-11,140,1,-8.431102830424742,0.9869721473495054
2016-07-11,240,-1,8.025931613667003,0.13186412894995367
2016-07-12,135,1,31.607640788231926,0.9948879276445451
2016-07-12,215,1,20.90882446828464,0.850796450421632
2016-07-13,130,-1,-15.791381788978365,0.19168506254590142
2016-07-13,280,1,6.206315156829634,0.9110183923705706
2016-07-14,130,1,36.166654016794155,1.0064772252402734
2016-07-14,230,1,-1.2636865492239742,0.814763839000971
2016-07-15,125,1,1.1271016982176811,0.8085106382979459
2016-07-15,205,1,-6.4351277954073804,0.9268685242932583
2016-07-18,130,-1,-23.207979025805113,0.16640431751737403
2016-07-18,260,-1,-5.053786182806652,0.023357984916190316
2016-07-19,125,1,-4.517601293535112,0.9689762150985085
2016-07-19,205,-1,1.3302510405392547,0.03980628395941766
2016-07-20,125,1,-0.4043342917888101,0.9514677103715493
2016-07-20,280,1,18.030015375292543,0.9960397640022646
2016-07-21,130,1,-0.09325620550186786,0.8447204968944855
2016-07-21,225,-1,4.21182219579026,0.017313150425732997
2016-07-22,125,1,-3.6679738562091386,0.909814323607282
